application_id,click_id,click_id_type,click_id_source,bucket,bucket_detail,category,subcategory,attribution,approved,funded,production_value,lifetime_value,product_family,report_completion_timestamp
33274,0AAAAADJeyxWTTkAkejmimEn1qJGbmlBzU,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-05 20:59:00.000
134182,0AAAAADJeyxVyHgeyKAtnkx0Bnt_1Pmw0-,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-05 22:11:41.000
33278,0AAAAADJeyxWoHnVm4eTFeE98Vkk3smLpS,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-05 22:24:00.000
134201,0AAAAADJeyxWLOa9di3S0w8DoyaGD7_Tha,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-06 07:27:52.000
33280,Cj0KCQiAnJHMBhDAARIsABr7b84Mco1AAy9ftDk0by9OwbgS1AsiUrF63RcohkC3bfXcp7ZYB5Pr6ZQaAjNXEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-06 09:20:00.000
134209,0AAAAADJeyxXLzrc5h7LnWo45bEhVHbH5O,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-06 16:03:34.000
33286,0AAAAADJeyxXLzrc5h7LnWo45bEhVHbH5O,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-06 17:30:00.000
33290,15db533661e51396b6783ab04e10a3e7,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/sayyes/first community credit union/branded terms,0,0,0.0,0.0,Xpress App,2026-02-06 19:12:00.000
134238,8098626c4d8e1bac17f40bea0af4730f,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/checkingaccounts/first community credit union beloit wi/2020,0,0,0.0,0.0,Personal Loan,2026-02-06 20:04:38.000
33305,0AAAAADJeyxVyHgeyKAtnkx0Bnt_1Pmw0-,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 00:42:00.000
33307,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-07 01:57:00.000
33310,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 02:38:00.000
134281,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-07 05:47:35.000
134285,0AAAAADJeyxURQkjtrL0AOTL-3wOflliqN,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-07 15:19:05.000
33315,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 20:45:00.000
33317,935e9829c9861570308ef1ae6d0e730b,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/checkingaccounts/credit unions near me/2020,0,0,0.0,0.0,Xpress App,2026-02-07 21:04:00.000
