location,impressions,clicks,cost,conversions
geoTargetConstants/1027796,1,0,0.002063,0.0
geoTargetConstants/1027797,4,2,0.02,0.0
geoTargetConstants/1027799,1,0,0.0,0.0
geoTargetConstants/1027801,185,24,23.509491999999998,5.0
geoTargetConstants/1027802,14,0,0.009768,0.0
geoTargetConstants/1027806,27,5,15.612688,1.0
geoTargetConstants/1027807,2,1,0.01,0.0
geoTargetConstants/1027809,5195,17,32.67671,3.0
geoTargetConstants/1027810,2,0,0.003274,0.0
geoTargetConstants/1027811,43,15,7.670634,4.0
geoTargetConstants/1027812,76,14,5.168246,2.0
geoTargetConstants/1028087,1,0,0.003871,0.0
geoTargetConstants/9051502,2167,12,12.369086,0.0
geoTargetConstants/9051506,1,0,0.003456,0.0
geoTargetConstants/9051524,46492,236,307.533496,12.0
geoTargetConstants/9051619,23804,111,223.676918,21.0
geoTargetConstants/9051666,3975,13,27.293625,0.0
geoTargetConstants/9051679,5420,18,32.498793,1.0
geoTargetConstants/9051701,3057,13,22.461064,1.0
geoTargetConstants/9051777,230,1,0.908926,0.0
geoTargetConstants/9051783,13204,39,77.148755,1.0
geoTargetConstants/9051829,1,0,0.0,0.0
geoTargetConstants/9051868,129,0,0.465984,0.0
geoTargetConstants/9051880,508,7,6.075135,1.0
geoTargetConstants/9051892,36128,139,515.995799,12.0
geoTargetConstants/9051901,1320,29,109.418848,4.0
geoTargetConstants/9051945,5485,66,243.55947,14.0
geoTargetConstants/9052034,1,0,0.005404,0.0
geoTargetConstants/9052103,1,0,0.001784,0.0
geoTargetConstants/9052116,1,0,0.005333,0.0
geoTargetConstants/9052182,4595,10,21.985489,1.0
geoTargetConstants/9052206,1,0,0.002559,0.0
geoTargetConstants/9052215,1,0,0.003671,0.0
geoTargetConstants/9052248,2,0,0.004437,0.0
geoTargetConstants/9052278,1,0,0.001333,0.0
geoTargetConstants/9052372,320,2,2.130637,0.0
geoTargetConstants/9052397,1231,7,20.913375,0.0
geoTargetConstants/9052439,22435,52,141.732835,4.4470019999999995
geoTargetConstants/9052454,1,0,0.004771,0.0
geoTargetConstants/9052467,1,0,0.002578,0.0
geoTargetConstants/9052531,1,0,0.005107,0.0
geoTargetConstants/9052537,421,4,44.280103,0.5
geoTargetConstants/9052577,1,0,0.00496,0.0
geoTargetConstants/9052624,1308,8,5.323885,0.0
geoTargetConstants/9052640,17700,85,134.891715,7.0
geoTargetConstants/9052644,19686,173,301.935596,12.0
geoTargetConstants/9052667,434,3,9.149364,1.0
geoTargetConstants/9052764,1,0,0.001745,0.0
geoTargetConstants/9052794,4,1,0.020616000000000002,0.0
geoTargetConstants/9052821,3332,28,43.554184,1.0
geoTargetConstants/9052823,1,0,0.008068,0.0
geoTargetConstants/9052842,17682,72,132.501315,11.0
geoTargetConstants/9052871,66007,310,657.4889880000001,40.952966
geoTargetConstants/9052895,1,0,0.00227,0.0
geoTargetConstants/9052898,14,2,0.052935,0.0
geoTargetConstants/9052980,814,6,4.162031,1.0
geoTargetConstants/9052985,2,0,0.00691,0.0
geoTargetConstants/9053013,41649,191,451.824851,29.666666
geoTargetConstants/9053022,1694,4,10.097068,0.0
geoTargetConstants/9053125,4,1,0.012656,0.0
geoTargetConstants/9053196,1,0,0.00785,0.0
geoTargetConstants/9053197,1,0,0.007494,0.0
geoTargetConstants/9189198,27563,134,254.113151,3.0
geoTargetConstants/9189347,10,3,1.089134,0.0
geoTargetConstants/9189574,17,1,0.01,0.0
geoTargetConstants/9189596,458,3,2.385271,0.0
geoTargetConstants/9190085,3,3,0.37,0.0
geoTargetConstants/9190104,1934,4,7.307228,0.0
geoTargetConstants/9190375,2522,72,150.391912,7.0
geoTargetConstants/9190391,7,1,1.088568,0.0
geoTargetConstants/9190555,1034,13,13.174179,2.0
geoTargetConstants/9190733,2,3,0.05,0.0
geoTargetConstants/9191218,4494,25,27.732422,3.0
geoTargetConstants/9191248,23,8,14.682407,1.0
geoTargetConstants/9191638,7001,22,38.056777,3.0
geoTargetConstants/9191746,174,3,15.629998,1.0
geoTargetConstants/9191753,877,20,68.092978,1.0
geoTargetConstants/9192153,1033,8,19.934829999999998,1.0
geoTargetConstants/9192217,10,1,0.36,1.0
geoTargetConstants/9192307,15,0,0.071948,0.0
geoTargetConstants/9192346,554,6,20.551528,1.0
geoTargetConstants/9192447,17689,69,125.33868199999999,8.0
geoTargetConstants/9192531,5,0,0.011862999999999999,0.0
geoTargetConstants/9192763,1654,4,5.398496,0.0
geoTargetConstants/9192863,19,2,1.114914,0.0
geoTargetConstants/9192879,491,3,10.022935,0.0
geoTargetConstants/9193159,20819,104,449.36942999999997,10.5
geoTargetConstants/9193184,513,0,1.651715,0.0
geoTargetConstants/9193270,7,0,0.031501,0.0
geoTargetConstants/9193284,2,1,0.01,0.0
geoTargetConstants/9193444,8461,76,198.18519,4.0
geoTargetConstants/9193675,5,0,0.018972000000000003,0.0
geoTargetConstants/9193886,2,0,0.00811,0.0
geoTargetConstants/9193887,14,1,0.065087,0.0
