campaign_name,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
KCU - Personal - NB Extended,Digital Accounts,online account opening,PHRASE,357,27,619.662737,17.0
KCU - Personal - NB Locations,Location - Kitsap,credit union near me,PHRASE,364,26,405.53452100000004,6.0
KCU - Personal - NB Extended,Digital Accounts,online checking account,PHRASE,360,26,691.940208,14.0
KCU - Personal - NB Extended,Digital Accounts,online bank,PHRASE,450,25,394.388451,3.0
KCU - Personal - Brand,Banking Location,kitsap credit union near me,PHRASE,204,25,49.04,11.977611
KCU - Personal - Brand,General Banking,kitsap credit union online banking,PHRASE,61,25,25.548126,5.0
KCU - Personal - NB Extended,General Banking,open bank account,PHRASE,354,25,437.746377,5.0
KCU - Personal - NB,General Banking,online banking,PHRASE,288,24,449.444862,8.0
KCU - Personal - NB,General Banking,open bank account,PHRASE,398,23,617.654644,11.666667
KCU - Personal - Brand,Banking Location,kitsap credit union bremerton,PHRASE,218,22,19.741223,3.951553
KCU - Personal - NB Locations,Location - Port Orchard,port orchard bank,PHRASE,200,21,187.87616400000002,0.0
KCU - Personal - NB Locations,Location - Silverdale,credit union silverdale,PHRASE,211,21,216.048185,0.0
KCU - Personal - NB Locations,Location - Bremerton,bremerton bank,PHRASE,167,21,210.583275,0.0
KCU - Personal - Brand Brand Geo Test,Personal Banking,kitsap credit union rates,PHRASE,56,20,17.561139,3.5
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union port townsend,PHRASE,75,20,6.8082959999999995,6.0
KCU - Business - NB,General Banking,business banking accounts,PHRASE,379,19,225.633535,2.087698
KCU - Personal - NB,Money Market Accounts,money market account,PHRASE,190,19,86.05351,1.0
KCU - Personal - NB,Money Market Accounts,money market rates,PHRASE,170,19,71.751701,1.0
KCU - Business - NB,General Banking,open business bank account,PHRASE,963,16,397.07,2.0
KCU - Personal - NB Extended,General Banking,personal bank account,PHRASE,429,16,117.554434,0.0
KCU - Personal - NB Extended,Certificates,certificate of deposit,PHRASE,270,16,53.770177999999994,5.5
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union locations,PHRASE,54,16,32.831677,6.962356
KCU - Personal - Brand,Banking Location,kitsap credit union gig harbor,PHRASE,104,15,19.04,4.0
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap community credit union,PHRASE,47,14,10.966652,2.0
KCU - Personal - Brand,Personal Banking,kitsap credit union accounts,PHRASE,54,14,31.2,1.666667
KCU - Personal - NB Locations,Location - Port Orchard,credit union port orchard,PHRASE,97,14,68.852056,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union poulsbo,PHRASE,109,13,13.505836,2.0
KCU - Personal - NB,Savings Accounts,savings account interest rates,PHRASE,135,13,89.160533,0.0
KCU - Personal - NB Extended,Digital Accounts,mobile banking,PHRASE,165,13,254.96882499999998,7.0
KCU - Personal - NB,Digital Accounts,online banking,PHRASE,125,12,263.193559,2.0
KCU - Personal - NB,Checking Accounts,open checking account,PHRASE,134,11,254.779033,2.996039
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union branches,PHRASE,76,11,29.336266000000002,8.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union bremerton,PHRASE,115,11,11.51,2.0
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap credit union online banking,PHRASE,31,11,5.413679,0.0
KCU - Personal - NB Locations,Location - Poulsbo,poulsbo bank,PHRASE,163,11,193.79739800000002,1.0
KCU - Personal - NB,Savings Accounts,open savings account,PHRASE,175,10,165.234486,0.0
KCU - Personal - NB Locations,Location - Port Townsend,port townsend bank,PHRASE,132,10,89.82,0.0
KCU - Personal - Brand,Banking Location,kitsap credit union puyallup,PHRASE,111,10,19.020336,4.0
KCU - Personal - NB,Certificates,certificate of deposit,PHRASE,193,10,71.532244,0.0
KCU - Personal - NB Extended,General Banking,online banking,PHRASE,146,9,179.50590300000002,3.0
KCU - Personal - NB Locations,Location - Gig Harbor,credit union gig harbor,PHRASE,85,8,56.69,0.0
KCU - Personal - NB,Checking Accounts,checking account,PHRASE,154,8,117.910461,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union near me,PHRASE,60,8,14.04,6.0
KCU - Personal - Brand Brand Geo Test,Personal Banking,kitsap credit union banking,PHRASE,34,8,33.39,2.800727
KCU - Personal - NB Locations,Location - Bainbridge,credit union bainbridge,PHRASE,68,8,85.493251,1.0
KCU - Personal - NB Locations,Location - Silverdale,silverdale bank,PHRASE,126,8,81.52,0.0
KCU - Personal - NB Locations,Location - Poulsbo,credit union poulsbo,PHRASE,35,7,147.86430000000001,2.0
KCU - Personal - NB Locations,Location - Puyallup,credit union puyallup,PHRASE,42,7,92.166483,1.0
KCU - Personal - NB Locations,Location - Port Townsend,credit union port townsend,PHRASE,23,7,62.641743000000005,0.0
KCU - Personal - NB Locations,Location - Gig Harbor,gig harbor bank,PHRASE,72,6,25.31,0.022147
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union gig harbor,PHRASE,43,6,8.78,0.0
KCU - Personal - NB Extended,Certificates,credit union cd rates,PHRASE,39,6,16.17,1.0
KCU - Personal - NB,Digital Accounts,online bank,PHRASE,76,5,39.74344,0.0
KCU - Personal - NB,General Banking,better bank account,PHRASE,53,5,102.12941599999999,1.0
KCU - Personal - NB,Certificates,credit union cd rates,PHRASE,15,5,24.043564000000003,0.0
KCU - Personal - NB Extended,Digital Accounts,open bank account online,PHRASE,87,5,123.5,2.0
KCU - Personal - NB,Savings Accounts,best savings account,PHRASE,48,5,66.392594,0.0
KCU - Personal - NB Locations,Location - Kitsap,local credit union,PHRASE,36,5,95.63969300000001,2.0
KCU - Business - NB,General Banking,online business banking,PHRASE,54,5,111.65999999999998,0.0
KCU - Personal - NB,Digital Accounts,online account opening,PHRASE,80,4,159.35999999999999,4.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union puyallup,PHRASE,52,4,5.520712,1.0
KCU - Personal - NB Locations,Location - Port Hadlock,port hadlock bank,PHRASE,23,4,38.39363,0.0
KCU - Personal - NB,Savings Accounts,credit union savings account,PHRASE,48,4,18.23,0.0
KCU - Personal - NB,Certificates,jumbo cd rates,PHRASE,35,4,10.142524,0.0
KCU - Personal - NB,Money Market Accounts,best money market account,PHRASE,36,3,12.202413,1.0
KCU - Personal - NB,Digital Accounts,online checking account,PHRASE,71,3,143.290384,2.0
KCU - Personal - NB Extended,Certificates,credit union certificate,PHRASE,23,3,22.82,2.0
KCU - Personal - NB Extended,Certificates,jumbo cd rates,PHRASE,13,3,10.09,0.0
KCU - Personal - Brand Brand Geo Test,Personal Banking,kitsap credit union accounts,PHRASE,8,3,2.84,0.0
KCU - Personal - NB,Digital Accounts,mobile banking,PHRASE,70,3,71.267301,1.0
KCU - Personal - NB,Digital Accounts,internet banking,PHRASE,34,3,12.315818,0.0
KCU - Personal - NB Extended,Digital Accounts,banking app,PHRASE,17,3,50.661979,0.0
KCU - Personal - Brand,Banking Location,kitsap credit union belfair,PHRASE,60,3,3.43072,1.0
KCU - Personal - Brand,Banking Location,kitsap credit union port hadlock,PHRASE,6,3,14.58,0.0
KCU - Personal - NB Locations,Location - Puyallup,puyallup bank,PHRASE,25,2,8.315225,0.0
KCU - Personal - NB Extended,General Banking,better bank account,PHRASE,39,2,24.927698,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union kingston,PHRASE,30,2,0.79,0.0
KCU - Business - NB,Digital Accounts,commercial online banking,PHRASE,58,2,65.03999999999999,0.0
KCU - Business - NB,Checking Accounts,open business checking account,PHRASE,107,2,30.92,0.0
KCU - Business - NB,Savings Accounts,business savings account,PHRASE,6,2,35.0,0.0
KCU - Business - NB,Savings Accounts,business money savings,PHRASE,30,2,9.835197,0.0
KCU - Business - Brand,General Banking,kitsap credit union small business,PHRASE,4,2,18.799999999999997,2.0
KCU - Personal - Brand,Banking Location,kitsap credit union bainbridge,PHRASE,13,1,1.824617,1.0
KCU - Personal - NB,Checking Accounts,free checking account,PHRASE,5,1,27.93,2.0
KCU - Personal - NB,Certificates,ira cd rates,PHRASE,14,1,9.12,0.0
KCU - Personal - NB,Money Market Accounts,money market account rates,PHRASE,7,1,3.51,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union belfair,PHRASE,27,1,2.5,0.0
KCU - Personal - NB Extended,Certificates,ira cd rates,PHRASE,6,1,6.6,0.0
KCU - Personal - NB,Savings Accounts,online savings account,PHRASE,1,1,37.02,2.0
KCU - Personal - NB,Digital Accounts,open bank account online,PHRASE,16,1,143.96,1.0
KCU - Personal - NB Locations,Location - Kingston,banking in kingston,PHRASE,16,1,6.498928,0.0
KCU - Personal - NB,Checking Accounts,joint checking account,PHRASE,32,1,52.29,0.0
KCU - Personal - NB Locations,Location - Kingston,kingston bank,PHRASE,1,0,0.0,0.0
KCU - Personal - NB Locations,Location - Belfair,credit union belfair,PHRASE,22,0,0.0,0.0
KCU - Personal - NB Extended,General Banking,apply for bank account,PHRASE,1,0,0.0,0.0
KCU - Personal - NB Extended,General Banking,new bank account,PHRASE,5,0,0.0,0.0
KCU - Personal - NB Locations,Location - Belfair,belfair bank,PHRASE,8,0,0.0,0.0
KCU - Personal - NB Extended,General Banking,open checking account online,PHRASE,5,0,0.0,0.0
KCU - Personal - NB Extended,General Banking,start bank account,PHRASE,3,0,0.0,0.0
KCU - Personal - NB,Digital Accounts,banking app,PHRASE,2,0,0.0,0.0
KCU - Personal - NB Extended,Digital Accounts,online only bank account,PHRASE,1,0,0.0,0.0
KCU - Business - NB,Digital Accounts,open business account online,PHRASE,3,0,0.0,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union port hadlock,PHRASE,6,0,0.0,0.0
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union bainbridge,PHRASE,3,0,0.0,0.0
KCU - Personal - Brand,Personal Banking,kitsap credit union services,PHRASE,2,0,0.0,0.0
KCU - Business - NB,General Banking,start business bank account,PHRASE,3,0,0.0,0.0
KCU - Business - NB,General Banking,business bank account,PHRASE,17,0,0.0,0.0
KCU - Business - NB,General Banking,best small business bank account,PHRASE,3,0,0.0,0.0
KCU - Business - NB,Digital Accounts,online business checking account,PHRASE,2,0,0.0,0.0
KCU - Personal - NB,Certificates,credit union certificate,PHRASE,1,0,0.0,0.0
KCU - Business - NB,Digital Accounts,business online banking,PHRASE,1,0,0.0,0.0
KCU - Business - NB,Checking Accounts,nonprofit checking account,PHRASE,1,0,0.0,0.0
KCU - Business - NB,Checking Accounts,commercial checking account,PHRASE,1,0,0.0,0.0
KCU - Business - NB,Checking Accounts,business checking account no fees,PHRASE,2,0,0.0,0.0
KCU - Business - NB,Checking Accounts,business checking account,PHRASE,15,0,0.0,0.0
KCU - Business - NB,Checking Accounts,best business checking account,PHRASE,2,0,0.0,0.0
KCU - Personal - NB,Certificates,certificate accounts,PHRASE,2,0,0.0,0.0
KCU - Personal - NB,Certificates,short term cd,PHRASE,2,0,0.0,0.0
KCU - Personal - NB Extended,Digital Accounts,mobile bank app,PHRASE,1,0,0.0,0.0
KCU - Personal - NB,Money Market Accounts,high yield money market,PHRASE,8,0,0.0,0.0
KCU - Personal - NB Extended,Digital Accounts,digital bank account,PHRASE,3,0,0.0,0.0
KCU - Personal - NB Extended,Certificates,short term cd,PHRASE,2,0,0.0,0.0
KCU - Personal - NB Extended,Certificates,share certificate,PHRASE,1,0,0.0,0.0
KCU - Personal - NB Extended,Certificates,credit union share certificate,PHRASE,1,0,0.0,0.0
KCU - Personal - NB Extended,Certificates,cd account near me,PHRASE,4,0,0.0,0.0
KCU - Personal - NB,Money Market Accounts,money market vs savings,PHRASE,1,0,0.0,0.0
KCU - Personal - NB,General Banking,start bank account,PHRASE,12,0,0.0,0.0
KCU - Personal - NB,Checking Accounts,checking account no fees,PHRASE,13,0,0.0,0.0
KCU - Personal - NB,General Banking,new bank account,PHRASE,9,0,0.0,0.0
KCU - Personal - NB,General Banking,how to open checking account,PHRASE,1,0,0.0,0.0
KCU - Personal - NB,Digital Accounts,online only bank account,PHRASE,32,0,0.0,0.0
KCU - Personal - NB,Digital Accounts,digital bank account,PHRASE,1,0,0.0,0.0
KCU - Personal - NB,Checking Accounts,credit union checking account,PHRASE,10,0,0.0,0.0
KCU - Personal - NB,Checking Accounts,checking account with no minimum balance,PHRASE,2,0,0.0,0.0
X KCU - Business - Non-Brand Locations,Location - Kitsap,business banking near me,PHRASE,3,0,0.0,0.0
