search_term,keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions
6 mo cd rates today,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 month cd,6 month cd,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,2,0,0.0,0.0
6 month cd,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 month cd rates,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 month cd rates,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,4,0,0.0,0.0
6 month cd rates 100k,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 month cd rates 100k,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 month cd rates today,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
6 percent cd,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,2,0,0.0,0.0
7 cd rate,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,1,1,0.91756,0.0
7 cd rates,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,2,0,0.0,0.0
7 month special certificate,cd rates,BROAD,1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,58101804925,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
8002 la mesa blvd la mesa ca 91942,cal coast credit union,BROAD,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,63664378710,Search_Keyword Targeting_English_Brand,1,0,0.0,0.0
84 month auto loan rates credit union,credit union deposit,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,2,0,0.0,0.0
858 495 1600,cal coast credit union san diego,BROAD,1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,63664378710,Search_Keyword Targeting_English_Brand,1,0,0.0,0.0
9 month cd rates today,cd rates,BROAD,22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,174380784633,Search_Keyword Targeting_English_Bank,1,0,0.0,0.0
